Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
48,-,61,3,0,78.68,4,caught,2,v South Africa,Ahmedabad,2010-02-27,https://stats.espncricinfo.com/ci/engine/match/441829.html,275,10,17.454545454545457,L
114,135,119,6,4,95.79,4,caught,1,v Zimbabwe,Bulawayo,2010-05-28,https://stats.espncricinfo.com/ci/engine/match/452146.html,285,5,40.0,L
101,126,100,6,2,101.00,4,not out,2,v Sri Lanka,Bulawayo,2010-05-30,https://stats.espncricinfo.com/ci/engine/match/452147.html,243,3,41.56378600823045,W
13,34,25,0,0,52.00,4,run out,1,v Zimbabwe,Harare,2010-06-03,https://stats.espncricinfo.com/ci/engine/match/452149.html,194,9,6.701030927835052,L
32,43,40,1,0,80.00,5,bowled,1,v Sri Lanka,Harare,2010-06-05,https://stats.espncricinfo.com/ci/engine/match/452150.html,268,9,11.940298507462686,L
0,1,1,0,0,0.00,4,lbw,2,v Bangladesh,Dambulla,2010-06-16,https://stats.espncricinfo.com/ci/engine/match/455232.html,168,4,0.0,W
22,20,24,2,0,91.66,5,lbw,2,v Pakistan,Dambulla,2010-06-19,https://stats.espncricinfo.com/ci/engine/match/455234.html,271,7,8.118081180811808,W
69,118,73,7,0,94.52,4,run out,1,v Sri Lanka,Dambulla,2010-06-22,https://stats.espncricinfo.com/ci/engine/match/455236.html,209,10,33.014354066985646,L
41,80,52,3,0,78.84,5,caught,1,v Sri Lanka,Dambulla,2010-06-24,https://stats.espncricinfo.com/ci/engine/match/455237.html,268,6,15.298507462686567,W
4,13,11,0,0,36.36,3,caught,2,v New Zealand,Dambulla,2010-08-10,https://stats.espncricinfo.com/ci/engine/match/456662.html,88,10,4.545454545454546,L
0,3,2,0,0,0.00,4,lbw,2,v Sri Lanka,Dambulla,2010-08-16,https://stats.espncricinfo.com/ci/engine/match/456663.html,171,4,0.0,W
11,-,21,2,0,52.38,3,lbw,1,v Sri Lanka,Dambulla,2010-08-22,https://stats.espncricinfo.com/ci/engine/match/456666.html,103,10,10.679611650485436,L
5,16,9,0,0,55.55,7,stumped,2,v Sri Lanka,Dambulla,2010-08-28,https://stats.espncricinfo.com/ci/engine/match/456668.html,225,10,2.2222222222222223,L
44,56,48,4,1,91.66,5,caught,2,v New Zealand,Bengaluru,2010-12-07,https://stats.espncricinfo.com/ci/engine/match/467886.html,321,5,13.707165109034266,W
11,28,27,1,0,40.74,4,caught,2,v South Africa,Durban,2011-01-12,https://stats.espncricinfo.com/ci/engine/match/463150.html,154,10,7.142857142857142,L
9,29,14,1,0,64.28,7,lbw,1,v South Africa,Johannesburg,2011-01-15,https://stats.espncricinfo.com/ci/engine/match/463151.html,190,10,4.736842105263158,W
23,67,45,2,0,51.11,1,bowled,2,v South Africa,Cape Town,2011-01-18,https://stats.espncricinfo.com/ci/engine/match/463152.html,223,8,10.31390134529148,W
1,6,6,0,0,16.66,1,caught,2,v South Africa,Gqeberha,2011-01-21,https://stats.espncricinfo.com/ci/engine/match/463153.html,142,6,0.7042253521126761,L
