Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
15,-,27,1,0,55.55,4,bowled,1,v South Africa,Cape Town,1992-12-07,https://stats.espncricinfo.com/ci/engine/match/64399.html,184,10,8.152173913043478,L
10,-,36,0,0,27.77,4,caught,1,v South Africa,Gqeberha,1992-12-09,https://stats.espncricinfo.com/ci/engine/match/64400.html,147,10,6.802721088435375,L
22,-,24,2,0,91.66,5,caught,2,v South Africa,Centurion,1992-12-11,https://stats.espncricinfo.com/ci/engine/match/64401.html,215,6,10.232558139534884,W
21,-,44,1,0,47.72,5,caught,1,v South Africa,Johannesburg,1992-12-13,https://stats.espncricinfo.com/ci/engine/match/64404.html,161,9,13.043478260869565,L
32,-,52,1,0,61.53,5,bowled,1,v South Africa,Bloemfontein,1992-12-15,https://stats.espncricinfo.com/ci/engine/match/64405.html,207,4,15.458937198067632,L
23,-,39,0,0,58.97,5,caught,2,v South Africa,Durban,1992-12-17,https://stats.espncricinfo.com/ci/engine/match/64406.html,177,10,12.994350282485875,L
21,-,38,3,0,55.26,3,caught,2,v South Africa,East London,1992-12-19,https://stats.espncricinfo.com/ci/engine/match/64407.html,204,5,10.294117647058822,W
82,116,81,6,1,101.23,5,not out,1,v England,Jaipur,1993-01-18,https://stats.espncricinfo.com/ci/engine/match/64411.html,223,3,36.771300448430495,L
1,9,5,0,0,20.00,5,lbw,2,v England,Chandigarh,1993-01-21,https://stats.espncricinfo.com/ci/engine/match/64412.html,201,5,0.4975124378109453,W
3,7,6,0,0,50.00,4,caught,2,v England,Bengaluru,1993-02-26,https://stats.espncricinfo.com/ci/engine/match/64413.html,170,10,1.7647058823529411,L
24,42,32,1,0,75.00,4,bowled,1,v England,Jamshedpur,1993-03-01,https://stats.espncricinfo.com/ci/engine/match/64414.html,137,7,17.51824817518248,L
5,7,6,1,0,83.33,5,bowled,2,v England,Gwalior,1993-03-04,https://stats.espncricinfo.com/ci/engine/match/64416.html,257,7,1.9455252918287937,W
34,42,30,2,1,113.33,5,caught,2,v England,Gwalior,1993-03-05,https://stats.espncricinfo.com/ci/engine/match/64417.html,267,6,12.734082397003746,W
3,16,9,0,0,33.33,5,caught,1,v Zimbabwe,Faridabad,1993-03-19,https://stats.espncricinfo.com/ci/engine/match/64420.html,249,7,1.2048192771084338,W
8,8,6,0,0,133.33,5,not out,2,v Zimbabwe,Guwahati,1993-03-22,https://stats.espncricinfo.com/ci/engine/match/64423.html,150,3,5.333333333333334,W
21,-,39,1,0,53.84,5,caught,1,v Sri Lanka,Colombo (RPS),1993-07-25,https://stats.espncricinfo.com/ci/engine/match/64433.html,212,8,9.90566037735849,W
15,-,30,0,0,50.00,5,run out,2,v Sri Lanka,Colombo (RPS),1993-08-12,https://stats.espncricinfo.com/ci/engine/match/64434.html,196,10,7.653061224489796,L
25,-,39,1,0,64.10,5,caught,1,v Sri Lanka,Moratuwa,1993-08-14,https://stats.espncricinfo.com/ci/engine/match/64435.html,227,9,11.013215859030836,L
26,-,30,4,0,86.66,5,not out,2,v Sri Lanka,Kanpur,1993-11-07,https://stats.espncricinfo.com/ci/engine/match/65961.html,205,3,12.682926829268293,W
2,-,8,0,0,25.00,5,lbw,2,v West Indies,Ahmedabad,1993-11-16,https://stats.espncricinfo.com/ci/engine/match/65966.html,100,10,2.0,L
24,22,16,1,1,150.00,6,caught,1,v Zimbabwe,Indore,1993-11-18,https://stats.espncricinfo.com/ci/engine/match/65967.html,248,5,9.67741935483871,L
3,-,25,0,0,12.00,4,caught,1,v South Africa,Mohali,1993-11-22,https://stats.espncricinfo.com/ci/engine/match/65970.html,221,10,1.3574660633484164,W
15,-,31,3,0,48.38,5,caught,1,v South Africa,Eden Gardens,1993-11-24,https://stats.espncricinfo.com/ci/engine/match/65971.html,195,10,7.6923076923076925,W
28,-,43,2,0,65.11,5,not out,1,v West Indies,Eden Gardens,1993-11-27,https://stats.espncricinfo.com/ci/engine/match/65973.html,225,7,12.444444444444445,W
1,10,5,0,0,20.00,5,caught,1,v Sri Lanka,Rajkot,1994-02-15,https://stats.espncricinfo.com/ci/engine/match/64445.html,246,5,0.40650406504065045,W
11,25,18,0,0,61.11,5,not out,2,v Sri Lanka,Hyderabad (Deccan),1994-02-18,https://stats.espncricinfo.com/ci/engine/match/64447.html,227,3,4.845814977973569,W
52,83,63,3,0,82.53,5,run out,1,v Sri Lanka,Jalandhar,1994-02-20,https://stats.espncricinfo.com/ci/engine/match/64449.html,213,9,24.413145539906104,L
15,22,19,1,0,78.94,5,caught,2,v New Zealand,Napier,1994-03-25,https://stats.espncricinfo.com/ci/engine/match/64462.html,212,9,7.0754716981132075,L
82,69,49,15,2,167.34,2,caught,2,v New Zealand,Auckland,1994-03-27,https://stats.espncricinfo.com/ci/engine/match/64463.html,143,3,57.34265734265735,W
63,91,75,9,0,84.00,2,lbw,1,v New Zealand,Wellington,1994-03-30,https://stats.espncricinfo.com/ci/engine/match/64464.html,255,5,24.705882352941178,W
40,34,26,8,0,153.84,2,bowled,1,v New Zealand,Christchurch,1994-04-02,https://stats.espncricinfo.com/ci/engine/match/64465.html,222,6,18.01801801801802,L
63,125,77,7,1,81.81,2,caught,1,v U.A.E.,Sharjah,1994-04-13,https://stats.espncricinfo.com/ci/engine/match/65826.html,273,5,23.076923076923077,W
73,96,64,10,3,114.06,2,caught,1,v Pakistan,Sharjah,1994-04-15,https://stats.espncricinfo.com/ci/engine/match/65828.html,219,10,33.33333333333333,L
6,12,7,1,0,85.71,2,caught,2,v Australia,Sharjah,1994-04-19,https://stats.espncricinfo.com/ci/engine/match/65832.html,245,3,2.4489795918367347,W
24,59,26,4,0,92.30,2,caught,2,v Pakistan,Sharjah,1994-04-22,https://stats.espncricinfo.com/ci/engine/match/65834.html,211,10,11.374407582938389,L
11,-,16,2,0,68.75,2,not out,1,v Sri Lanka,Colombo (RPS),1994-09-04,https://stats.espncricinfo.com/ci/engine/match/65974.html,16,10,68.75,L
6,13,5,0,0,120.00,2,caught,1,v Sri Lanka,Colombo (RPS),1994-09-05,https://stats.espncricinfo.com/ci/engine/match/65975.html,125,5,4.8,L
110,186,130,8,2,84.61,2,bowled,1,v Australia,Colombo (RPS),1994-09-09,https://stats.espncricinfo.com/ci/engine/match/65977.html,246,8,44.71544715447154,W
0,6,2,0,0,0.00,2,caught,2,v Sri Lanka,Colombo (SSC),1994-09-17,https://stats.espncricinfo.com/ci/engine/match/65980.html,99,4,0.0,W
0,3,4,0,0,0.00,2,caught,2,v West Indies,Faridabad,1994-10-17,https://stats.espncricinfo.com/ci/engine/match/64475.html,177,10,0.0,L
0,7,4,0,0,0.00,2,caught,2,v West Indies,Wankhede,1994-10-20,https://stats.espncricinfo.com/ci/engine/match/64476.html,135,4,0.0,W
8,28,24,0,0,33.33,3,caught,2,v West Indies,Chennai,1994-10-23,https://stats.espncricinfo.com/ci/engine/match/65997.html,225,6,3.5555555555555554,W
115,184,136,9,3,84.55,2,run out,2,v New Zealand,Vadodara,1994-10-28,https://stats.espncricinfo.com/ci/engine/match/65999.html,271,3,42.435424354243544,W
34,53,47,7,0,72.34,2,bowled,2,v West Indies,Kanpur,1994-10-30,https://stats.espncricinfo.com/ci/engine/match/66000.html,211,5,16.113744075829384,L
62,80,54,13,0,114.81,2,bowled,1,v New Zealand,Delhi,1994-11-03,https://stats.espncricinfo.com/ci/engine/match/66002.html,289,3,21.453287197231834,W
66,101,68,8,0,97.05,2,caught,1,v West Indies,Eden Gardens,1994-11-05,https://stats.espncricinfo.com/ci/engine/match/66003.html,274,6,24.087591240875913,W
54,130,64,5,0,84.37,2,caught,1,v West Indies,Visakhapatnam,1994-11-07,https://stats.espncricinfo.com/ci/engine/match/64480.html,260,4,20.76923076923077,W
88,147,112,10,0,78.57,2,bowled,2,v West Indies,Cuttack,1994-11-09,https://stats.espncricinfo.com/ci/engine/match/64481.html,256,2,34.375,W
