Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
53,-,57,2,1,92.98,4,caught,1,v Sri Lanka,Colombo (RPS),1993-07-25,https://stats.espncricinfo.com/ci/engine/match/64433.html,212,8,25.0
62,-,89,2,2,69.66,4,caught,2,v Sri Lanka,Colombo (RPS),1993-08-12,https://stats.espncricinfo.com/ci/engine/match/64434.html,196,10,31.63265306122449
85,-,103,5,2,82.52,4,caught,1,v Sri Lanka,Moratuwa,1993-08-14,https://stats.espncricinfo.com/ci/engine/match/64435.html,227,9,37.44493392070485
75,-,105,4,2,71.42,4,not out,2,v Sri Lanka,Kanpur,1993-11-07,https://stats.espncricinfo.com/ci/engine/match/65961.html,205,3,36.58536585365854
23,-,44,2,0,52.27,4,caught,2,v West Indies,Ahmedabad,1993-11-16,https://stats.espncricinfo.com/ci/engine/match/65966.html,100,10,23.0
54,65,56,4,1,96.42,5,not out,1,v Zimbabwe,Indore,1993-11-18,https://stats.espncricinfo.com/ci/engine/match/65967.html,248,5,21.774193548387096
31,-,50,3,0,62.00,5,run out,1,v South Africa,Mohali,1993-11-22,https://stats.espncricinfo.com/ci/engine/match/65970.html,221,10,14.027149321266968
90,-,118,7,1,76.27,4,caught,1,v South Africa,Eden Gardens,1993-11-24,https://stats.espncricinfo.com/ci/engine/match/65971.html,195,10,46.15384615384615
38,-,43,3,0,88.37,4,caught,1,v West Indies,Eden Gardens,1993-11-27,https://stats.espncricinfo.com/ci/engine/match/65973.html,225,7,16.88888888888889
14,18,17,1,0,82.35,4,run out,1,v Sri Lanka,Rajkot,1994-02-15,https://stats.espncricinfo.com/ci/engine/match/64445.html,246,5,5.691056910569105
16,22,13,2,0,123.07,4,caught,2,v Sri Lanka,Hyderabad (Deccan),1994-02-18,https://stats.espncricinfo.com/ci/engine/match/64447.html,227,3,7.048458149779736
11,30,13,0,0,84.61,6,caught,1,v Sri Lanka,Jalandhar,1994-02-20,https://stats.espncricinfo.com/ci/engine/match/64449.html,213,9,5.164319248826291
9,32,20,0,0,45.00,4,bowled,2,v New Zealand,Napier,1994-03-25,https://stats.espncricinfo.com/ci/engine/match/64462.html,212,9,4.245283018867925
12,30,17,0,0,70.58,4,not out,2,v New Zealand,Auckland,1994-03-27,https://stats.espncricinfo.com/ci/engine/match/64463.html,143,3,8.391608391608392
24,23,20,3,0,120.00,5,bowled,1,v New Zealand,Wellington,1994-03-30,https://stats.espncricinfo.com/ci/engine/match/64464.html,255,5,9.411764705882353
1,10,8,0,0,12.50,5,caught,1,v New Zealand,Christchurch,1994-04-02,https://stats.espncricinfo.com/ci/engine/match/64465.html,222,6,0.45045045045045046
81,137,99,4,2,81.81,4,caught,1,v U.A.E.,Sharjah,1994-04-13,https://stats.espncricinfo.com/ci/engine/match/65826.html,273,5,29.67032967032967
29,27,34,2,1,85.29,4,caught,1,v Pakistan,Sharjah,1994-04-15,https://stats.espncricinfo.com/ci/engine/match/65828.html,219,10,13.24200913242009
36,65,37,2,0,97.29,4,not out,2,v Australia,Sharjah,1994-04-19,https://stats.espncricinfo.com/ci/engine/match/65832.html,245,3,14.69387755102041
3,5,3,0,0,100.00,4,caught,2,v Pakistan,Sharjah,1994-04-22,https://stats.espncricinfo.com/ci/engine/match/65834.html,211,10,1.4218009478672986
