Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
17,34,18,4,0,94.44,1,lbw,2,v New Zealand,Guwahati,1999-11-14,https://stats.espncricinfo.com/ci/engine/match/64633.html,188,10,9.042553191489363
86,146,110,12,1,78.18,2,stumped,2,v New Zealand,Delhi,1999-11-17,https://stats.espncricinfo.com/ci/engine/match/64634.html,181,3,47.51381215469613
61,173,101,5,0,60.39,2,bowled,1,v Pakistan,Brisbane,2000-01-10,https://stats.espncricinfo.com/ci/engine/match/65588.html,195,10,31.28205128205128
100,174,127,10,0,78.74,2,run out,2,v Australia,Melbourne,2000-01-12,https://stats.espncricinfo.com/ci/engine/match/65589.html,241,6,41.49377593360996
5,21,9,0,0,55.55,1,caught,1,v Australia,Sydney,2000-01-14,https://stats.espncricinfo.com/ci/engine/match/65590.html,100,10,5.0
43,84,55,5,0,78.18,2,caught,2,v Pakistan,Hobart,2000-01-21,https://stats.espncricinfo.com/ci/engine/match/65593.html,230,10,18.695652173913043
141,207,144,12,1,97.91,2,lbw,1,v Pakistan,Adelaide,2000-01-25,https://stats.espncricinfo.com/ci/engine/match/65595.html,267,6,52.80898876404494
5,13,8,1,0,62.50,2,caught,2,v Australia,Adelaide,2000-01-26,https://stats.espncricinfo.com/ci/engine/match/65596.html,177,10,2.824858757062147
1,5,3,0,0,33.33,2,caught,2,v Pakistan,Perth,2000-01-28,https://stats.espncricinfo.com/ci/engine/match/65597.html,157,10,0.6369426751592357
31,36,28,6,0,110.71,1,caught,2,v South Africa,Kochi,2000-03-09,https://stats.espncricinfo.com/ci/engine/match/64657.html,302,7,10.264900662251655
105,202,139,10,4,75.53,1,not out,2,v South Africa,Jamshedpur,2000-03-12,https://stats.espncricinfo.com/ci/engine/match/64658.html,203,4,51.724137931034484
56,78,54,8,1,103.70,1,caught,1,v South Africa,Faridabad,2000-03-15,https://stats.espncricinfo.com/ci/engine/match/64659.html,248,8,22.58064516129032
87,110,84,12,2,103.57,1,caught,2,v South Africa,Vadodara,2000-03-17,https://stats.espncricinfo.com/ci/engine/match/64660.html,283,6,30.742049469964666
6,16,11,1,0,54.54,1,caught,2,v South Africa,Nagpur,2000-03-19,https://stats.espncricinfo.com/ci/engine/match/64661.html,310,10,1.935483870967742
27,44,29,4,0,93.10,1,caught,1,v South Africa,Sharjah,2000-03-22,https://stats.espncricinfo.com/ci/engine/match/65782.html,164,10,16.463414634146343
25,41,32,4,0,78.12,1,caught,2,v Pakistan,Sharjah,2000-03-23,https://stats.espncricinfo.com/ci/engine/match/65783.html,149,5,16.778523489932887
7,19,12,1,0,58.33,1,caught,2,v Pakistan,Sharjah,2000-03-26,https://stats.espncricinfo.com/ci/engine/match/65785.html,174,9,4.022988505747127
6,19,14,1,0,42.85,2,caught,1,v South Africa,Sharjah,2000-03-27,https://stats.espncricinfo.com/ci/engine/match/65786.html,164,10,3.6585365853658534
135,-,124,6,7,108.87,1,not out,2,v Bangladesh,Dhaka,2000-05-30,https://stats.espncricinfo.com/ci/engine/match/65700.html,252,2,53.57142857142857
13,35,26,2,0,50.00,1,caught,2,v Sri Lanka,Dhaka,2000-06-01,https://stats.espncricinfo.com/ci/engine/match/65701.html,205,10,6.341463414634147
