Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
59,80,72,5,0,81.94,3,bowled,1,v Pakistan,Abu Dhabi,2006-04-19,https://stats.espncricinfo.com/ci/engine/match/244511.html,269,5,21.933085501858738,W
18,19,11,2,1,163.63,6,caught,2,v West Indies,Kingston,2006-05-18,https://stats.espncricinfo.com/ci/engine/match/239915.html,254,5,7.086614173228346,W
2,9,7,0,0,28.57,7,bowled,2,v West Indies,Kingston,2006-05-20,https://stats.espncricinfo.com/ci/engine/match/239916.html,197,10,1.015228426395939,L
15,-,26,1,0,57.69,5,run out,1,v West Indies,Basseterre,2006-05-23,https://stats.espncricinfo.com/ci/engine/match/239917.html,245,9,6.122448979591836,L
46,-,58,6,0,79.31,6,not out,1,v West Indies,Port of Spain,2006-05-26,https://stats.espncricinfo.com/ci/engine/match/239918.html,217,7,21.19815668202765,L
14,-,19,2,0,73.68,3,bowled,2,v West Indies,Port of Spain,2006-05-28,https://stats.espncricinfo.com/ci/engine/match/239919.html,236,10,5.932203389830509,L
2,7,10,0,0,20.00,5,bowled,1,v West Indies,Kuala Lumpur,2006-09-14,https://stats.espncricinfo.com/ci/engine/match/256607.html,309,5,0.6472491909385114,L
18,20,13,4,0,138.46,6,bowled,1,v West Indies,Kuala Lumpur,2006-09-20,https://stats.espncricinfo.com/ci/engine/match/256612.html,162,10,11.11111111111111,W
23,34,34,0,1,67.64,7,caught,2,v Australia,Kuala Lumpur,2006-09-22,https://stats.espncricinfo.com/ci/engine/match/256614.html,195,10,11.794871794871794,L
7,37,22,0,0,31.81,6,caught,2,v England,Jaipur,2006-10-15,https://stats.espncricinfo.com/ci/engine/match/249745.html,126,6,5.555555555555555,W
51,82,65,1,2,78.46,6,run out,1,v West Indies,Ahmedabad,2006-10-26,https://stats.espncricinfo.com/ci/engine/match/249753.html,223,9,22.869955156950674,L
28,44,23,2,0,121.73,6,lbw,1,v Australia,Mohali,2006-10-29,https://stats.espncricinfo.com/ci/engine/match/249756.html,249,8,11.244979919678714,L
14,32,27,3,0,51.85,5,caught,2,v South Africa,Durban,2006-11-22,https://stats.espncricinfo.com/ci/engine/match/249211.html,91,10,15.384615384615385,L
55,61,48,3,4,114.58,6,caught,2,v South Africa,Cape Town,2006-11-26,https://stats.espncricinfo.com/ci/engine/match/249212.html,168,10,32.73809523809524,L
26,36,21,4,1,123.80,6,caught,2,v South Africa,Gqeberha,2006-11-29,https://stats.espncricinfo.com/ci/engine/match/249213.html,163,10,15.950920245398773,L
