Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,2011-01-12,https://stats.espncricinfo.com/ci/engine/match/463150.html,154,10,35.064935064935064,L
22,43,34,1,0,64.70,3,run out,1,v South Africa,Johannesburg,2011-01-15,https://stats.espncricinfo.com/ci/engine/match/463151.html,190,10,11.578947368421053,W
28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,2011-01-18,https://stats.espncricinfo.com/ci/engine/match/463152.html,223,8,12.556053811659194,W
87,126,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha,2011-01-21,https://stats.espncricinfo.com/ci/engine/match/463153.html,142,6,61.267605633802816,L
2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,2011-01-23,https://stats.espncricinfo.com/ci/engine/match/463154.html,234,10,0.8547008547008548,L
100,113,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur,2011-02-19,https://stats.espncricinfo.com/ci/engine/match/433558.html,370,4,27.027027027027028,W
8,12,5,1,0,160.00,7,bowled,1,v England,Bengaluru,2011-02-27,https://stats.espncricinfo.com/ci/engine/match/433568.html,338,10,2.366863905325444,L
34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,2011-03-06,https://stats.espncricinfo.com/ci/engine/match/433578.html,210,5,16.19047619047619,W
12,16,20,2,0,60.00,5,bowled,2,v Netherlands,Delhi,2011-03-09,https://stats.espncricinfo.com/ci/engine/match/433582.html,191,5,6.282722513089005,W
1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,2011-03-12,https://stats.espncricinfo.com/ci/engine/match/433586.html,296,10,0.33783783783783783,L
59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,2011-03-20,https://stats.espncricinfo.com/ci/engine/match/433599.html,268,10,22.01492537313433,W
24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,2011-03-24,https://stats.espncricinfo.com/ci/engine/match/433601.html,261,5,9.195402298850574,W
9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,2011-03-30,https://stats.espncricinfo.com/ci/engine/match/433605.html,260,9,3.4615384615384617,W
35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede,2011-04-02,https://stats.espncricinfo.com/ci/engine/match/433606.html,277,4,12.63537906137184,W
2,5,8,0,0,25.00,3,caught,2,v West Indies,Port of Spain,2011-06-06,https://stats.espncricinfo.com/ci/engine/match/489221.html,217,6,0.9216589861751152,W
81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,2011-06-08,https://stats.espncricinfo.com/ci/engine/match/489222.html,183,3,44.26229508196721,W
0,1,1,0,0,0.00,3,lbw,2,v West Indies,North Sound,2011-06-11,https://stats.espncricinfo.com/ci/engine/match/489223.html,228,7,0.0,W
22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,2011-06-13,https://stats.espncricinfo.com/ci/engine/match/489224.html,146,10,15.068493150684931,L
94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,2011-06-16,https://stats.espncricinfo.com/ci/engine/match/489225.html,251,10,37.45019920318725,L
55,92,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street,2011-09-03,https://stats.espncricinfo.com/ci/engine/match/474477.html,274,7,20.072992700729927,L
9,9,9,0,0,100.00,4,caught,1,v England,Southampton,2011-09-06,https://stats.espncricinfo.com/ci/engine/match/474478.html,187,8,4.81283422459893,L
7,18,18,0,0,38.88,4,caught,1,v England,The Oval,2011-09-09,https://stats.espncricinfo.com/ci/engine/match/474479.html,234,7,2.9914529914529915,L
16,40,36,1,0,44.44,4,caught,1,v England,Lord's,2011-09-11,https://stats.espncricinfo.com/ci/engine/match/474480.html,280,5,5.714285714285714,L
107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,2011-09-16,https://stats.espncricinfo.com/ci/engine/match/474481.html,304,6,35.19736842105263,L
37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad,2011-10-14,https://stats.espncricinfo.com/ci/engine/match/521218.html,300,7,12.333333333333334,W
112,134,98,16,0,114.28,4,not out,2,v England,Delhi,2011-10-17,https://stats.espncricinfo.com/ci/engine/match/521219.html,238,2,47.05882352941176,W
35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,2011-10-20,https://stats.espncricinfo.com/ci/engine/match/521220.html,300,5,11.666666666666666,W
86,-,99,11,0,86.86,4,not out,2,v England,Wankhede,2011-10-23,https://stats.espncricinfo.com/ci/engine/match/521221.html,223,4,38.56502242152467,W
0,5,5,0,0,0.00,3,bowled,1,v England,Eden Gardens,2011-10-25,https://stats.espncricinfo.com/ci/engine/match/521222.html,271,8,0.0,W
3,13,6,0,0,50.00,4,bowled,2,v West Indies,Cuttack,2011-11-29,https://stats.espncricinfo.com/ci/engine/match/536929.html,213,9,1.4084507042253522,W
117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,2011-12-02,https://stats.espncricinfo.com/ci/engine/match/536930.html,270,5,43.333333333333336,W
20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,2011-12-05,https://stats.espncricinfo.com/ci/engine/match/536931.html,244,10,8.19672131147541,L
23,15,11,3,0,209.09,6,not out,1,v West Indies,Indore,2011-12-08,https://stats.espncricinfo.com/ci/engine/match/536932.html,418,5,5.502392344497608,W
80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai,2011-12-11,https://stats.espncricinfo.com/ci/engine/match/536933.html,267,6,29.962546816479403,W
31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne,2012-02-05,https://stats.espncricinfo.com/ci/engine/match/518956.html,151,10,20.52980132450331,L
77,156,94,8,1,81.91,3,run out,2,v Sri Lanka,Perth,2012-02-08,https://stats.espncricinfo.com/ci/engine/match/518957.html,234,6,32.9059829059829,W
18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,2012-02-12,https://stats.espncricinfo.com/ci/engine/match/518959.html,270,6,6.666666666666667,W
15,32,25,1,0,60.00,3,lbw,2,v Sri Lanka,Adelaide,2012-02-14,https://stats.espncricinfo.com/ci/engine/match/518960.html,236,9,6.3559322033898304,L
12,44,25,0,0,48.00,3,caught,2,v Australia,Brisbane,2012-02-19,https://stats.espncricinfo.com/ci/engine/match/518962.html,178,10,6.741573033707865,L
66,116,83,2,0,79.51,4,caught,2,v Sri Lanka,Brisbane,2012-02-21,https://stats.espncricinfo.com/ci/engine/match/518963.html,238,10,27.73109243697479,L
21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney,2012-02-26,https://stats.espncricinfo.com/ci/engine/match/518965.html,165,10,12.727272727272727,L
133,133,86,16,2,154.65,4,not out,2,v Sri Lanka,Hobart,2012-02-28,https://stats.espncricinfo.com/ci/engine/match/518966.html,321,3,41.43302180685358,W
108,148,120,7,0,90.00,3,caught,1,v Sri Lanka,Mirpur,2012-03-13,https://stats.espncricinfo.com/ci/engine/match/535795.html,304,3,35.526315789473685,W
66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Mirpur,2012-03-16,https://stats.espncricinfo.com/ci/engine/match/535797.html,289,5,22.837370242214533,L
183,211,148,22,1,123.64,3,caught,2,v Pakistan,Mirpur,2012-03-18,https://stats.espncricinfo.com/ci/engine/match/535798.html,330,4,55.45454545454545,W
106,158,113,9,0,93.80,3,caught,1,v Sri Lanka,Hambantota,2012-07-21,https://stats.espncricinfo.com/ci/engine/match/564781.html,314,6,33.75796178343949,W
1,6,5,0,0,20.00,3,caught,1,v Sri Lanka,Hambantota,2012-07-24,https://stats.espncricinfo.com/ci/engine/match/564782.html,138,10,0.7246376811594203,L
38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),2012-07-28,https://stats.espncricinfo.com/ci/engine/match/564783.html,288,5,13.194444444444445,W
128,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),2012-07-31,https://stats.espncricinfo.com/ci/engine/match/564784.html,255,4,50.19607843137255,W
23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,2012-08-04,https://stats.espncricinfo.com/ci/engine/match/564785.html,294,7,7.8231292517006805,W
0,9,5,0,0,0.00,3,bowled,1,v Pakistan,Chennai,2012-12-30,https://stats.espncricinfo.com/ci/engine/match/589308.html,227,6,0.0,L
6,12,9,1,0,66.66,3,caught,2,v Pakistan,Eden Gardens,2013-01-03,https://stats.espncricinfo.com/ci/engine/match/589309.html,165,10,3.6363636363636362,L
7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,2013-01-06,https://stats.espncricinfo.com/ci/engine/match/589310.html,167,10,4.191616766467066,W
15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,2013-01-11,https://stats.espncricinfo.com/ci/engine/match/565812.html,316,9,4.746835443037975,L
37,86,54,1,1,68.51,3,caught,1,v England,Kochi,2013-01-15,https://stats.espncricinfo.com/ci/engine/match/565813.html,285,6,12.982456140350877,W
77,110,79,9,2,97.46,3,not out,2,v England,Ranchi,2013-01-19,https://stats.espncricinfo.com/ci/engine/match/565814.html,157,3,49.044585987261144,W
26,44,33,3,0,78.78,3,caught,2,v England,Mohali,2013-01-23,https://stats.espncricinfo.com/ci/engine/match/565815.html,258,5,10.077519379844961,W
0,1,1,0,0,0.00,3,caught,1,v England,Dharamsala,2013-01-27,https://stats.espncricinfo.com/ci/engine/match/565816.html,226,10,0.0,L
31,46,41,2,0,75.60,3,caught,1,v South Africa,Cardiff,2013-06-06,https://stats.espncricinfo.com/ci/engine/match/578614.html,331,7,9.365558912386707,W
22,18,18,4,0,122.22,3,bowled,2,v West Indies,The Oval,2013-06-11,https://stats.espncricinfo.com/ci/engine/match/578619.html,236,2,9.322033898305085,W
22,36,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham,2013-06-15,https://stats.espncricinfo.com/ci/engine/match/578623.html,102,2,21.568627450980394,W
58,80,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff,2013-06-20,https://stats.espncricinfo.com/ci/engine/match/566947.html,182,2,31.868131868131865,W
43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,2013-06-23,https://stats.espncricinfo.com/ci/engine/match/566948.html,129,7,33.33333333333333,W
11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,2013-06-30,https://stats.espncricinfo.com/ci/engine/match/597924.html,229,7,4.8034934497816595,L
2,6,5,0,0,40.00,4,caught,2,v Sri Lanka,Kingston,2013-07-02,https://stats.espncricinfo.com/ci/engine/match/597925.html,187,10,1.06951871657754,L
102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,2013-07-05,https://stats.espncricinfo.com/ci/engine/match/597926.html,311,7,32.79742765273312,W
