Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
42,87,68,4,0,61.76,4,caught,2,v Sri Lanka,Colombo (SSC),1997-08-24,https://stats.espncricinfo.com/ci/engine/match/64560.html,255,8,16.470588235294116
23,41,41,0,0,56.09,3,caught,1,v Pakistan,Toronto,1997-09-13,https://stats.espncricinfo.com/ci/engine/match/66035.html,208,10,11.057692307692307
14,51,25,2,0,56.00,3,run out,2,v Pakistan,Toronto,1997-09-14,https://stats.espncricinfo.com/ci/engine/match/66036.html,117,3,11.965811965811966
25,112,79,0,0,31.64,3,caught,1,v Pakistan,Toronto,1997-09-18,https://stats.espncricinfo.com/ci/engine/match/66038.html,182,6,13.736263736263737
3,8,4,0,0,75.00,7,not out,1,v Pakistan,Toronto,1997-09-21,https://stats.espncricinfo.com/ci/engine/match/66040.html,250,5,1.2
50,109,81,2,0,61.72,5,bowled,1,v Pakistan,Hyderabad (Sind),1997-09-28,https://stats.espncricinfo.com/ci/engine/match/64561.html,170,10,29.411764705882355
31,48,45,1,0,68.88,3,bowled,2,v West Indies,Sharjah,1997-12-16,https://stats.espncricinfo.com/ci/engine/match/65878.html,188,10,16.48936170212766
5,31,22,0,0,22.72,5,caught,2,v Bangladesh,Mohali,1998-05-14,https://stats.espncricinfo.com/ci/engine/match/66144.html,185,5,2.7027027027027026
49,89,62,4,0,79.03,3,bowled,2,v Kenya,Bengaluru,1998-05-20,https://stats.espncricinfo.com/ci/engine/match/66146.html,224,6,21.875
1,22,21,0,0,4.76,3,bowled,2,v Bangladesh,Wankhede,1998-05-25,https://stats.espncricinfo.com/ci/engine/match/66148.html,116,5,0.8620689655172413
33,62,53,2,0,62.26,4,caught,2,v Kenya,Gwalior,1998-05-28,https://stats.espncricinfo.com/ci/engine/match/66149.html,196,10,16.83673469387755
4,16,10,1,0,40.00,4,caught,2,v Pakistan,Toronto,1998-09-12,https://stats.espncricinfo.com/ci/engine/match/66041.html,193,4,2.072538860103627
18,41,30,1,0,60.00,4,caught,2,v Pakistan,Toronto,1998-09-13,https://stats.espncricinfo.com/ci/engine/match/66042.html,195,10,9.230769230769232
9,30,30,0,0,30.00,5,bowled,2,v Pakistan,Toronto,1998-09-16,https://stats.espncricinfo.com/ci/engine/match/66043.html,180,10,5.0
1,4,1,0,0,100.00,6,run out,2,v Pakistan,Toronto,1998-09-19,https://stats.espncricinfo.com/ci/engine/match/66044.html,182,10,0.5494505494505495
64,126,98,3,0,65.30,3,caught,2,v Zimbabwe,Bulawayo,1998-09-26,https://stats.espncricinfo.com/ci/engine/match/64589.html,216,2,29.629629629629626
28,52,42,1,0,66.66,5,caught,2,v Zimbabwe,Harare,1998-09-30,https://stats.espncricinfo.com/ci/engine/match/64591.html,222,10,12.612612612612612
48,92,80,3,0,60.00,4,run out,1,v Australia,Dhaka,1998-10-28,https://stats.espncricinfo.com/ci/engine/match/66165.html,307,8,15.63517915309446
20,75,54,1,0,37.03,4,caught,1,v West Indies,Dhaka,1998-10-31,https://stats.espncricinfo.com/ci/engine/match/66168.html,242,6,8.264462809917356
3,12,13,0,0,23.07,3,caught,2,v Zimbabwe,Sharjah,1998-11-11,https://stats.espncricinfo.com/ci/engine/match/65885.html,192,10,1.5625
