Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
13,8,5,3,0,260.00,2,not out,2,v Sri Lanka,Colombo (RPS),2002-09-29,https://stats.espncricinfo.com/ci/engine/match/66194.html,14,10,92.85714285714286
25,48,22,3,1,113.63,2,not out,2,v Sri Lanka,Colombo (RPS),2002-09-30,https://stats.espncricinfo.com/ci/engine/match/66195.html,38,1,65.78947368421053
28,38,26,4,0,107.69,1,caught,1,v West Indies,Jamshedpur,2002-11-06,https://stats.espncricinfo.com/ci/engine/match/64785.html,283,6,9.89399293286219
1,5,5,0,0,20.00,2,caught,1,v West Indies,Nagpur,2002-11-09,https://stats.espncricinfo.com/ci/engine/match/64786.html,279,9,0.35842293906810035
114,-,82,17,2,139.02,2,not out,2,v West Indies,Rajkot,2002-11-12,https://stats.espncricinfo.com/ci/engine/match/64787.html,200,1,56.99999999999999
4,3,3,1,0,133.33,2,caught,2,v West Indies,Ahmedabad,2002-11-15,https://stats.espncricinfo.com/ci/engine/match/64788.html,325,5,1.2307692307692308
52,57,39,9,1,133.33,2,caught,1,v West Indies,Vadodara,2002-11-18,https://stats.espncricinfo.com/ci/engine/match/64789.html,290,8,17.93103448275862
18,33,21,3,0,85.71,2,caught,2,v West Indies,Jodhpur,2002-11-21,https://stats.espncricinfo.com/ci/engine/match/64790.html,202,7,8.91089108910891
12,-,15,2,0,80.00,1,caught,2,v West Indies,Vijayawada,2002-11-24,https://stats.espncricinfo.com/ci/engine/match/64792.html,180,10,6.666666666666667
0,5,5,0,0,0.00,2,bowled,1,v New Zealand,Auckland,2002-12-26,https://stats.espncricinfo.com/ci/engine/match/64813.html,108,10,0.0
108,160,119,9,2,90.75,2,run out,2,v New Zealand,Napier,2002-12-29,https://stats.espncricinfo.com/ci/engine/match/64814.html,219,10,49.31506849315068
7,17,20,1,0,35.00,1,caught,1,v New Zealand,Christchurch,2003-01-01,https://stats.espncricinfo.com/ci/engine/match/64815.html,108,10,6.481481481481481
